"Title","URL","Categories","Published Date"
"褒めて伸ばすという温室の罠。物差しを歪められた人間が30代で直面する絶望","https://note.com/chiba90/n/n0b35e1728638","無料note","2026年5月20日 22:40"
"KPIという「化学のり」が指示待ち部下を生む。完璧なダッシュボードが組織を殺す理由","https://note.com/chiba90/n/nf5318dd78c21","無料note","2026年5月8日 21:31"
"【効率化の果てにある熱狂】ポルシェが時速300kmの車体に「非効率な工芸」を宿らせた理由","https://note.com/chiba90/n/n13411b1ee9d3","無料note","2026年5月8日 12:57"
"【AIと均質化への反逆】なぜ国は「魚の骨を抜く手間」を文化財にしたのか","https://note.com/chiba90/n/n85bd85ee8539","無料note","2026年5月7日 20:33"
"グッバイ2025","https://note.com/chiba90/n/n8daedcdc8fcc","無料note","2025年12月29日 20:59"
"『クシャクシャ』という音に気づけない自分。散歩で感じた、閉じてる心","https://note.com/chiba90/n/nc4058217f958","無料note","2025年11月30日 18:04"
"千葉博文｜自己紹介","https://note.com/chiba90/n/n72f0a9628454","無料note","2025年11月18日 20:20"
"「自分の時間がない」のレベルが違った。娘と2人きりで過ごした土日に悟った、妻という仕事の凄さ","https://note.com/chiba90/n/n15106b82d0b2","無料note","2025年11月16日 19:40"
"「秘密の空間」の夢と、目が覚めた朝の涙","https://note.com/chiba90/n/n200c3ded86ff","無料note","2025年11月13日 16:46"
"最近、映画を最後まで観られますか？ スマホのせいで「考える体力」が落ちてる気がして、本気で焦ってる話。","https://note.com/chiba90/n/ne40c731bb0fb","無料note","2025年11月9日 13:27"
"「優秀な人を採用したら、No.2の自分が不要に思えた」。自信喪失の先で、&quot;カッコ悪い自分&quot;と決別するために","https://note.com/chiba90/n/n024aa8d93879","無料note","2025年11月8日 17:52"
"経営者(CXO)としての孤独と悩みの正体。解決に向けた壁打ちフレームワーク。部下との1on1にも有効です","https://note.com/chiba90/n/n52355b30061b","有料note","2026年5月11日"
"んーって言ってる。生後1か月、父親が見た日常のリアル","https://note.com/chiba90/n/ne7fc4a6908cc","無料note","2025年10月12日 09:37"
"しゃらん、という音。代々木八幡宮のお宮参り","https://note.com/chiba90/n/n3d36ccddd2a2","無料note","2025年10月5日 22:06"
"2025/09/06 娘爆誕","https://note.com/chiba90/n/n99d17f6dfcf4","無料note","2025年9月23日 16:52"
"攻略本のない世界で、どう生きるか。僕が見つけた「カッコいい」という指針","https://note.com/chiba90/n/n15e9b83c0ba0","無料note","2025年8月10日 17:46"
"東京の9倍の密度で、命を掘っていた端島（軍艦島）に立って","https://note.com/chiba90/n/n28f9ad84711d","無料note","2025年7月12日 16:26"
"泣けなかったぼくと、泣いてくれたまなちゃん","https://note.com/chiba90/n/nb59f9b856666","無料note","2025年7月4日 18:15"
"14年と1枚のアロハシャツ。失った色を、もう一度着てみる","https://note.com/chiba90/n/n204c94f425b4","無料note","2025年6月22日 21:08"
"わかってるのに、待てない。自分の癖と、向き合うということ","https://note.com/chiba90/n/n2a06672471e0","無料note","2025年6月3日 17:02"
"かたちを変えて、残っていくもの。アロハシャツと、自分の話","https://note.com/chiba90/n/n6a49dc7629dd","無料note","2025年5月19日 19:06"
"「あの時、声を上げられなかった自分」を超えていく","https://note.com/chiba90/n/nec505facccfd","無料note","2025年5月14日 15:46"
"排他主義や無駄なライバル心","https://note.com/chiba90/n/n449db41e032f","無料note","2025年4月25日 17:13"
"大事にしてるつもりだけど、気を抜くと忘れてしまう仕事に対する価値観、俺的Best3","https://note.com/chiba90/n/nf2fbccf464b3","無料note","2021年12月20日 22:12"
"上場企業CxOの「思考OS」：課題を構造化するフレームワーク","https://note.com/chiba90/m/m9eaba07c1e97","無料note",""
"気合いで組織は動かない。やっぱり必要なのは大きな責任を伴う体験だし、それを大きく感じてくれる可能性が高いのは若手だなぁ","https://note.com/chiba90/n/n4bd104504eb1","無料note",""
"「自分の実力」だと勘違いしていないか？波が引いた絶望の中で試される真の地力","https://note.com/chiba90/n/n0d8068fcb872","無料note","2026年5月11日"
"「絶対に失敗できない」という重圧。安全な勝負で巨大なリターンを夢見ていないか","https://note.com/chiba90/n/n2ee6c84f7e74","無料note","2026年5月14日"
"完璧な仮面の下で滴る「常に迷う」という本音。有形文化財の生存戦略が示す、コントロールの正しい手放し方","https://note.com/chiba90/n/placeholder_1695","無料note","2026年5月24日"

